score	clip	text spoken	heard
0.00	eng-lkg-in-on-under-s04.mp3	On. Under. In.	I know, I know, I know, I know, I know, I know, I know, I know, I know, I know, I know, I know, I know, I know, I know, I know, I know, I know, I know, I know, I know, I know, I know, I know, I know, I know, I know, I know, I know, I know, I know, I know, I know, I know, I know, I know, I know, I know, I know, I know, I know, I know, I know, I know, I know, I know, I know, I know, I know, I know, I know, I know, I know, I know, I know, I know, I know, I know, I know, I know, I know, I know, I know, I know, I know, I know, I know, I know, I know, I know, I know, I know, I know, I know, I
0.06	hin-ukg-char-akshar-s03.mp3	Look, ba, ra, ga, da.	you g the the the the the the the the the the the the the the the the
0.20	hin-ukg-teen-akshar-s01.mp3	Look, ka, ma, la.	look I this I I I I I I I I I I I I I I I I I I I I I I
0.21	eng-lkg-three-letter-words-s07.mp3	Look, see, you, pee.	6. C. U.B.
0.27	hin-ukg-vyanjan-s09.mp3	This is chha.	this, pifo, the s, a, a, a, a, a, a, a, a, a, a, a, a, a, a, a, a, a, a, a, a, a, a, a, a, a, a, a, a, a,
0.33	math-nur-count-51-100-s16.mp3	sixty two.	Let's see you.
0.36	math-nur-count-check-s03.mp3	Where is forty three? Touch it.	v.42, w. th. t- t- I have a more and a more.
0.43	math-nur-count-51-100-s17.mp3	sixty three.	we have a c-3
0.43	math-nur-count-51-100-s23.mp3	sixty eight.	Thanks to see it.
0.46	math-nur-count-51-100-s21.mp3	sixty six.	XC6
0.50	eng-lkg-three-letter-words-s11.mp3	Look, bee, you, ess.	Luke B. U.S.
0.50	math-nur-count-1-20-s01.mp3	Now say, one.	Mao C. 1
0.50	math-nur-count-1-20-s06.mp3	Now say, six.	Mao C. Six
0.52	hin-ukg-do-akshar-s05.mp3	Look, gha, ra.	Look, there, right
0.52	math-nur-count-51-100-s18.mp3	sixty four.	Fix the speed for
0.53	hin-ukg-teen-akshar-s05.mp3	Look, sa, ra, la.	Luxa Rabia
0.55	hin-ukg-teen-akshar-s03.mp3	Look, na, ma, ka.	Look, now, my God.
0.56	eng-nur-alphabets-s21.mp3	jee for Goat.	G for gold
0.56	eng-nur-alphabets-s23.mp3	This is small aitch.	This s mod h
0.56	evs-lkg-market-s09.mp3	and cabbages.	and cronopadgis
0.56	hin-ukg-char-akshar-s05.mp3	Look, na, ta, kha, ta.	Look not a girl.
0.56	math-nur-count-51-100-s57.mp3	ninety six.	986
0.57	math-nur-count-51-100-s15.mp3	sixty one.	TXC 1
0.59	math-nur-count-1-20-s10.mp3	Now say, ten.	Nau si, ten.
0.59	eng-lkg-two-letter-words-s11.mp3	Look, double-you and ee.	Look, W and E.
0.60	eng-lkg-three-letter-words-s01.mp3	Look, see, ayy, tee.	Look C.A.T.
0.60	hin-ukg-teen-akshar-s11.mp3	Look, bha, va, na.	Lugba wana
0.60	math-nur-count-1-20-s08.mp3	Now say, eight.	Now see, eat.
0.62	math-nur-count-51-100-s19.mp3	sixty five.	T-X-D-5
0.62	math-nur-count-51-100-s24.mp3	sixty nine.	TXC9
0.63	eng-lkg-three-letter-words-s03.mp3	Look, dee, oh, jee.	Look d-o-g.
0.63	eng-nur-alphabets-s36.mp3	ell for Lion.	A4 line
0.63	hin-ukg-vyanjan-s08.mp3	This is cha.	This is your
0.63	eng-ukg-phonics-s21.mp3	cue says kwuh. Say it with me.	To a sesgo, say it with me.
0.64	hin-ukg-teen-akshar-s09.mp3	Look, cha, ma, ka.	Look, Jack, Ma, C.
0.67	eng-nur-shapes-s08.mp3	This is a star.	This is our stop.
0.67	hin-ukg-do-akshar-s01.mp3	Look, na, la.	Look now.
0.67	hin-ukg-matra-s13.mp3	ka with the o matra makes ko.	Up with the ometramix go.
0.67	hin-ukg-vyanjan-s34.mp3	This is la.	This is here.
0.67	math-nur-count-51-100-s06.mp3	fifty four.	5th FP4
0.69	eng-nur-alphabets-s68.mp3	This is small double-you.	This is small w.
0.69	eng-nur-alphabets-s72.mp3	ex for xylophone.	Export the lock phone
0.69	eng-nur-fruits-s08.mp3	This is a pineapple.	This is a penny pool.
0.69	eng-lkg-hot-cold-s01.mp3	Tea is hot. Careful!	T is hot. K full.
0.69	gk-lkg-sports-equipment-s06.mp3	This is a racket.	This is all wrap.
0.69	gk-lkg-sports-equipment-s12.mp3	This is a racket.	This is all wrap.
0.70	eng-ukg-phonics-s14.mp3	kay says kuh. Say it with me.	I say it's good. Say it with me.
0.70	eng-ukg-phonics-s32.mp3	zedd says zuh. Say it with me.	That says go. Say it with me.
0.70	eng-lkg-three-letter-words-s09.mp3	Look, aitch, ee, en.	Look H.E.N.
