score	clip	text spoken	heard
0.64	gk-lkg-sports-equipment-s07.mp3	ବ୍ୟାଡମିଣ୍ଟନ ର୍ୟାକେଟ ଆଉ ଶଟଲକକରେ ଖେଳାଯାଏ.	3.9s
0.67	evs-ukg-states-india-s06.mp3	ଓଡ଼ିଶାର ସମୁଦ୍ର କୂଳକୁ ପ୍ରତିବର୍ଷ ଲକ୍ଷ ଲକ୍ଷ କଇଁଛ ଆସନ୍ତି.	5.3s
0.67	gk-lkg-sports-equipment-s03.mp3	କ୍ରିକେଟ ବ୍ୟାଟ ଆଉ ବଲରେ ଖେଳାଯାଏ.	2.8s
0.68	gk-lkg-sports-equipment-s11.mp3	ବାସ୍କେଟବଲରେ ବଲକୁ ଉପରେ ଥିବା ବାସ୍କେଟରେ ପକାଯାଏ.	4.3s
0.69	evs-ukg-states-india-s07.mp3	ପଶ୍ଚିମବଙ୍ଗର ସୁନ୍ଦରବନରେ ବାଘ ରହନ୍ତି.	3.8s
0.69	evs-ukg-places-of-worship-s06.mp3	ସମସ୍ତଙ୍କର ପ୍ରାର୍ଥନା ସ୍ଥାନ ଅଲଗା, ଆଉ ଆମେ ସବୁଗୁଡ଼ିକୁ ସମ୍ମାନ କରୁ.	6.0s
0.70	eng-nur-insects-s04.mp3	ଏହା ଏକ ପ୍ରଜାପତି. ପ୍ରଜାପତିର ଡେଣା ରଙ୍ଗବେରଙ୍ଗ.	4.4s
0.71	demo-street-s02.mp3	ଗୋଟିଏ ଦୋକାନ, ଗୋଟିଏ ଡାକ୍ତରଖାନା, ଗୋଟିଏ ଡାକଘର ଆଉ ଗୋଟିଏ ବ୍ୟାଙ୍କ.	5.7s
0.71	hin-lkg-sabji-rang-s06.mp3	ବାଇଗଣ ବାଇଗଣୀ ରଙ୍ଗର.	2.2s
0.72	evs-ukg-balloon-ride-s05.mp3	ଆଉ ଉପରେ ସୂର୍ଯ୍ୟ ଚମକୁଛି.	2.5s
0.72	evs-nur-festivals-s07.mp3	ଆଉ ପରସ୍ପରକୁ ଉପହାର ଦେଉ.	2.6s
0.73	evs-ukg-seasons-s02.mp3	ଖରାଦିନେ ସୂର୍ଯ୍ୟ ଜୋରରେ ଚମକେ, ଆଉ ବହୁତ ଗରମ ହୁଏ.	4.6s
0.73	eng-nur-animals-check-s05.mp3	ଏମାନଙ୍କ ଭିତରୁ କିଏ ଜଙ୍ଗଲରେ ରହେ.	3.3s
0.73	evs-lkg-professions-s01.mp3	ସମସ୍ତେ ନିଜ ନିଜ କାମ କରନ୍ତି, ଆଉ ପ୍ରତ୍ୟେକ କାମର ନିଜର ଉପକରଣ ଥାଏ.	6.5s
0.74	evs-lkg-special-vehicles-s07.mp3	ଆମ୍ବୁଲାନ୍ସ କିମ୍ବା ଦମକଳର ସାଇରନ ବାଜିଲେ, ସମସ୍ତେ ତାକୁ ବାଟ ଛାଡ଼ନ୍ତି.	6.4s
0.75	evs-ukg-water-cycle-s03.mp3	ଉଚ୍ଚରେ ଥଣ୍ଡା, ଆଉ ବାଷ୍ପ ମେଘ ହୋଇଯାଏ.	3.5s
0.75	evs-ukg-states-india-s04.mp3	ମହାରାଷ୍ଟ୍ରର ହାପୁସ ଆମ୍ବ ବହୁତ ପ୍ରସିଦ୍ଧ.	4.1s
0.75	evs-ukg-states-india-s09.mp3	ପଞ୍ଜାବର କ୍ଷେତରେ ବହୁତ ଗହମ ଫଳେ.	3.3s
0.76	math-nur-count-51-100-s26.mp3	ଏକସ୍ତରି ରୁ ପଞ୍ଚସ୍ତରି.	2.4s
0.76	evs-nur-good-habits-s08.mp3	ଆମେ ବଡ଼ମାନଙ୍କୁ ନମସ୍କାର କରୁ, ଆଉ କହୁ, ଦୟାକରି, ଆଉ ଧନ୍ୟବାଦ.	6.0s
0.76	evs-ukg-river-crossing-s05.mp3	କିନ୍ତୁ ସବୁବେଳେ ଜଣେ ବଡ଼ଙ୍କ ସହ, ଆଉ ନାଉରିଆଙ୍କ କଥା ମାନି.	5.4s
0.76	evs-ukg-states-india-s08.mp3	ଆସାମରେ ଏକ ଶିଙ୍ଗିଆ ଗଣ୍ଡା ରହେ.	3.0s
0.76	eng-lkg-days-week-s03.mp3	ମଙ୍ଗଳବାର ପରେ ବୁଧବାର ଆସେ.	2.8s
0.77	evs-ukg-village-city-s02.mp3	କେବଳ ଗୋଟିଏ ମହଲା, ଆଉ ଆଗରେ ବାରଣ୍ଡା.	3.6s
0.77	eng-nur-animals-check-s04.mp3	ଏମାନଙ୍କ ଭିତରୁ କିଏ ସମୁଦ୍ରରେ ରହେ.	3.4s
0.77	demo-india-s02.mp3	ଏହି ଚଉତରା ଉପରେ ଆମର ଜାତୀୟ ପ୍ରତୀକ ରଖାଯିବ.	4.7s
0.77	evs-ukg-places-of-worship-s01.mp3	ଲୋକେ ଅଲଗା ଅଲଗା ଜାଗାରେ ପ୍ରାର୍ଥନା କରନ୍ତି. ଆସ ସେଗୁଡ଼ିକୁ ଦେଖିବା.	5.9s
