score	clip	text spoken	heard
0.00	eng-lkg-two-letter-words-s03.mp3	देखो, ओ और एन.	VK O.O.R.N.
0.00	eng-nur-alphabets-s27.mp3	आई से आइस क्रीम, आइसक्रीम.	I say ice cream, ice cream.
0.00	eng-nur-alphabets-s36.mp3	एल से लायन, शेर.	LC Lion, Sheer
0.00	eng-nur-alphabets-s45.mp3	ओ से ऑरेंज, संतरा.	OC Orange 17
0.00	eng-nur-alphabets-s54.mp3	आर से रॉकेट, रॉकेट.	RC Rocket, Rocket
0.00	eng-nur-alphabets-s72.mp3	एक्स से ज़ाइलोफ़ोन, ज़ाइलोफ़ोन.	XC-Shylophon, Xylophon
0.00	evs-lkg-market-s04.mp3	,केले,	गगे
0.00	math-nur-count-1-20-s03.mp3	तीन.	बीम
0.00	math-nur-count-1-20-s05.mp3	पाँच.	बाइट
0.00	math-nur-count-1-20-s06.mp3	छह.	फफ
0.00	math-nur-count-1-20-s08.mp3	आठ.	अ
0.00	math-nur-count-1-20-s10.mp3	दस.	बफ
0.00	math-nur-count-1-20-s11.mp3	ग्यारह.	11.
0.00	math-nur-count-1-20-s14.mp3	चौदह.	जो आगा
0.00	math-nur-count-21-50-s03.mp3	इक्कीस.	21
0.00	math-nur-count-21-50-s05.mp3	तेईस.	देज़
0.00	math-nur-count-21-50-s06.mp3	चौबीस.	24.
0.00	math-nur-count-21-50-s25.mp3	चालीस.	40
0.00	math-nur-count-21-50-s28.mp3	बयालीस.	42.
0.00	math-nur-count-21-50-s30.mp3	चवालीस.	44.
0.00	math-nur-count-21-50-s35.mp3	अड़तालीस.	48
0.00	math-nur-count-51-100-s03.mp3	इक्यावन.	51.
0.00	math-nur-count-51-100-s15.mp3	इकसठ.	उग्जजब
0.00	math-nur-count-51-100-s27.mp3	इकहत्तर.	71
0.00	math-nur-count-51-100-s28.mp3	बहत्तर.	72
0.00	math-nur-count-51-100-s30.mp3	चौहत्तर.	74
0.00	math-nur-count-51-100-s40.mp3	बयासी.	वै आजी
0.00	math-nur-count-51-100-s45.mp3	छियासी.	कि आजी
0.00	math-nur-count-51-100-s46.mp3	सत्तासी.	87
0.00	math-nur-count-51-100-s55.mp3	पंचानवे.	95.
0.00	math-nur-count-51-100-s59.mp3	अट्ठानवे.	98
0.00	math-nur-count-51-100-s61.mp3	सौ.	झाल
0.00	math-ukg-multiply-single-s02.mp3	दो पंक्ति में तीन.	2.5.
0.21	math-ukg-add-double-s06.mp3	बीस और पंद्रह, पैंतीस.	20 और 15, 35
0.22	math-nur-count-21-50-s21.mp3	छत्तीस.	प्रत्थीज
0.22	math-nur-count-51-100-s07.mp3	पचपन.	जचिवाइण
0.22	math-ukg-add-double-s05.mp3	बीस जमा पंद्रह. सोचो.	20 जमा 15 सोजो
0.22	math-ukg-sub-double-s04.mp3	अठारह में से छह, बारह.	18 में से 6, 12
0.25	math-lkg-odd-even-s10.mp3	दस, सम.	बस वाप
0.25	math-nur-count-21-50-s32.mp3	छियालीस से पचास तक.	40-50 तक
0.25	math-nur-count-21-50-s33.mp3	छियालीस.	कि आलीज
0.25	math-nur-count-51-100-s23.mp3	अड़सठ.	और सुख
0.27	math-nur-count-51-100-s44.mp3	छियासी से नब्बे तक.	86-90 तक
0.27	math-nur-count-51-100-s56.mp3	छियानवे से सौ तक.	96-100 तक
0.29	eng-lkg-months-year-s08.mp3	अगस्त.	जोस्ट
0.29	math-lkg-odd-even-s02.mp3	दो, सम.	दो जो जो जो
0.30	eng-nur-alphabets-s15.mp3	ई से एलिफ़ेंट, हाथी.	इसे elephant, हाथी
0.32	math-nur-count-21-50-s26.mp3	इकतालीस से पैंतालीस तक.	41 से 45 तक
0.32	math-nur-count-51-100-s50.mp3	इक्यानवे से पंचानवे तक.	91 से 95 तक
0.33	eng-lkg-three-letter-words-s05.mp3	देखो, एस, यू, एन.	देखो, S-U-N
0.33	math-nur-count-21-50-s02.mp3	इक्कीस से पच्चीस तक.	21 से 25 तक
0.33	math-nur-count-51-100-s06.mp3	चौवन.	जोगन
0.33	math-nur-count-51-100-s16.mp3	बासठ.	वासर
0.33	math-nur-count-51-100-s18.mp3	चौंसठ.	जोंसर
0.33	math-nur-count-51-100-s31.mp3	पचहत्तर.	प्जाएट दर
0.35	math-nur-count-21-50-s14.mp3	इकतीस से पैंतीस तक.	31 से 35 तक
0.35	math-nur-count-21-50-s20.mp3	छत्तीस से चालीस तक.	36 से 40 तक
0.35	math-nur-count-51-100-s14.mp3	इकसठ से पैंसठ तक.	61 से 75 तक
0.35	math-nur-count-51-100-s38.mp3	इक्यासी से पचासी तक.	81 से 85 तक
0.35	math-ukg-sub-double-s03.mp3	अठारह घटा छह. सोचो.	18 घटाचे सोजो
