score	clip	text spoken	heard
0.00	eng-lkg-months-year-s02.mp3	मग फेब्रुवारी.	Mok February
0.00	eng-lkg-months-year-s04.mp3	मग एप्रिल.	Moog April
0.00	eng-lkg-three-letter-words-s07.mp3	बघा, सी, यू, पी.	वभा, C, U, P
0.00	eng-lkg-two-letter-words-s08.mp3	मिळून होतो गो, म्हणजे जा.	Merlun Hotogo, Mërnjegja.
0.00	eng-nur-alphabets-s61.mp3	हे मोठं यू आहे.	He motor, jova he!
0.00	evs-lkg-animal-habitats-s08.mp3	हा सिंह आहे.	哈喪下啊去!
0.00	hin-lkg-sabji-rang-s10.mp3	कोबी हिरवा असतो.	Koby Hirvasto.
0.00	hin-ukg-char-akshar-s01.mp3	बघा, म, क, स, द.	V'H' mong câu sơ D'
0.00	hin-ukg-do-akshar-s03.mp3	बघा, क, ल.	B-b-b-b-câu
0.20	eng-lkg-three-letter-words-s01.mp3	बघा, सी, ए, टी.	बगा, C, A, T
0.25	hin-ukg-do-akshar-s05.mp3	बघा, घ, र.	बबाब गौ
0.27	eng-lkg-in-on-under-s04.mp3	वर. खाली. आत.	गुर गाली अधब गुर
0.31	eng-lkg-two-letter-words-s05.mp3	बघा, यू आणि पी.	वगा, U, आणिक टी
0.33	eng-nur-fruits-s01.mp3	ही फळं बघा.	ही प्रडव बगा
0.33	eng-nur-fruits-s06.mp3	ही फळं बघा.	ही प्रडव बगा
0.33	hin-ukg-teen-akshar-s11.mp3	बघा, भ, व, न.	वगा वव वो नगा
0.38	eng-nur-alphabets-s69.mp3	डब्ल्यू, वॉटरमेलन, म्हणजे कलिंगड.	W, watermelon, मनजे, कलिंगड़्ण
0.38	eng-nur-alphabets-s78.mp3	ज़ेड, ज़ेबरा, म्हणजे झेब्रा.	जिग्डेड जवेबरा मनजे जेबरा
0.40	eng-lkg-transport-types-s09.mp3	ही होडी आहे.	ही ओडी अहे
0.40	hin-ukg-swar-s13.mp3	हे औ आहे. म्हणा, औ.	हे वाहे मना अव
0.43	eng-lkg-three-letter-words-s09.mp3	बघा, एच, ई, एन.	वगा, ह, ए, ए, एन
0.43	hin-ukg-do-akshar-s11.mp3	बघा, ब, स.	बबहा, बुप, सर्वाइब
0.43	hin-ukg-swar-s04.mp3	हे इ आहे. म्हणा, इ.	हे या हे मरा ए
0.43	hin-ukg-swar-s09.mp3	हे ऋ आहे. म्हणा, ऋ.	हे रुआ हे बना
0.44	evs-lkg-animal-food-s07.mp3	कुत्रा हाड चघळतो.	कुत्रा हार्द्वर्टो
0.46	hin-ukg-char-akshar-s07.mp3	बघा, अ, ज, ग, र.	बभा अजब बड़
0.50	eng-nur-shapes-s03.mp3	हा चौरस आहे.	हाच जो यसाफे!
0.50	hin-ukg-do-akshar-s07.mp3	बघा, ज, ल.	बबाब जव लगाई
0.50	hin-ukg-vyanjan-s05.mp3	हे घ आहे.	हे गवाहे
0.50	hin-ukg-vyanjan-s08.mp3	हे च आहे.	हे जुराहे
0.50	hin-ukg-vyanjan-s22.mp3	हे द आहे.	हे डवाहे
0.53	evs-nur-good-habits-s07.mp3	आणि दूध पितो.	आनी दूर पितो उल्ग
0.53	math-nur-count-21-50-s25.mp3	आता म्हणा, चाळीस.	आता भणा चालीच
0.53	math-nur-count-51-100-s08.mp3	छप्पन्न ते साठ.	चपननंतेशार
0.55	eng-lkg-months-year-s08.mp3	मग ऑगस्ट.	मल अगस
0.55	eng-nur-fruits-s03.mp3	हे केळं आहे.	हे गयाल आ हे!
0.55	evs-lkg-market-s07.mp3	इथे टोमॅटो.	इते ड्टोमाचो
0.56	eng-nur-alphabets-s72.mp3	एक्स, ज़ाइलोफ़ोन, म्हणजे झायलोफोन.	इत्स जवाईलोफोन, मर्नचेज हाईलोफोन
0.56	hin-ukg-char-akshar-s05.mp3	बघा, न, ट, ख, ट.	बबाभा नग टबखखग टब
0.57	eng-lkg-two-letter-words-s03.mp3	बघा, ओ आणि एन.	बगा, O आणी इन
0.57	eng-nur-alphabets-s48.mp3	पी, पॅरट, म्हणजे पोपट.	पी पैर्ड भन्जे पोपर
0.57	evs-lkg-market-s09.mp3	आणि कोबी मिळतो.	आड़ी को भी मलतो
0.57	hin-ukg-vyanjan-s09.mp3	हे छ आहे.	हे चाहे
0.57	hin-ukg-vyanjan-s11.mp3	हे झ आहे.	हे जाहे
0.57	hin-ukg-vyanjan-s12.mp3	हे ञ आहे.	हे या हे
0.57	hin-ukg-vyanjan-s17.mp3	हे ढ आहे.	हे या हे
0.57	hin-ukg-vyanjan-s18.mp3	हे ण आहे.	हे ना हे
0.57	hin-ukg-vyanjan-s27.mp3	हे फ आहे.	हे पाहे
0.57	hin-ukg-vyanjan-s37.mp3	हे श आहे.	हे चाहे
0.57	hin-ukg-vyanjan-s38.mp3	हे ष आहे.	हे शाहे
0.57	hin-ukg-vyanjan-s39.mp3	हे स आहे.	हे जाहे
0.57	math-nur-count-21-50-s08.mp3	सव्वीस ते तीस.	सववेस टेटीष
0.57	math-nur-count-51-100-s54.mp3	आता म्हणा, चौऱ्याण्णव.	आता महना चौर्यान नौ।
0.59	eng-nur-alphabets-s30.mp3	जे, जीप, म्हणजे जीप.	जे जीब मन जे जीब
0.59	hin-ukg-swar-s07.mp3	हे ऊ आहे. म्हणा, ऊ.	हे गू आहे महना उख
0.59	hin-ukg-swar-s11.mp3	हे ऐ आहे. म्हणा, ऐ.	हे आया हे, महना अरी
0.59	hin-ukg-vyanjan-s36.mp3	आता श, ष, स, ह बघा.	अता श, श, स, हब बगा
0.59	hin-ukg-teen-akshar-s04.mp3	मिळून बनतो नमक, म्हणजे मीठ.	मिरून बंतो नग, मनजे मीट
0.60	eng-nur-alphabets-s24.mp3	एच, हेन, म्हणजे कोंबडी.	8. हेन, मंजे कुम्डी
0.60	eng-nur-alphabets-s39.mp3	एम, मंकी, म्हणजे माकड.	M मंकी, मंजे मा करल
0.60	hin-ukg-teen-akshar-s03.mp3	बघा, न, म, क.	बधा, नम, मौं
0.60	hin-ukg-teen-akshar-s09.mp3	बघा, च, म, क.	बबा, चो, मॉम
0.60	math-lkg-lines-curves-s01.mp3	या रेषा बघा.	यारेशा बगा
0.60	math-lkg-lines-curves-s05.mp3	या रेषा बघा.	यारेशा बगा
0.60	math-nur-count-51-100-s52.mp3	आता म्हणा, ब्याण्णव.	आता महना ब्यांडाउर
0.62	eng-lkg-three-letter-words-s08.mp3	मिळून होतो कप, म्हणजे कप.	मिरून होतो कव, मर्न जे कव
0.62	eng-nur-alphabets-s13.mp3	हे मोठं ई आहे.	हे मोठग एया हे
0.62	eng-nur-colors-s08.mp3	हा जांभळा आहे.	हाज आम्रा आहे
0.62	hin-lkg-sabji-rang-s08.mp3	मका पिवळा असतो.	मगाप्पी वरास्तो
0.62	math-nur-count-21-50-s20.mp3	छत्तीस ते चाळीस.	सत्पीस, ते चारीस
0.62	math-nur-count-51-100-s37.mp3	आता म्हणा, ऐंशी.	आता महना अइनशी
0.63	eng-nur-alphabets-s09.mp3	सी, कॅट, म्हणजे मांजर.	C. टैंट मन्जे मांजर
0.63	eng-nur-alphabets-s51.mp3	क्यू, क्वीन, म्हणजे राणी.	Q. विन. मनजे राणी.
0.64	eng-nur-alphabets-s36.mp3	एल, लायन, म्हणजे सिंह.	एल लायंग मनजे सिंग्म।
0.64	math-nur-count-21-50-s24.mp3	आता म्हणा, एकोणचाळीस.	आताम भणा एकोंड चारीच
0.64	math-nur-count-51-100-s51.mp3	आता म्हणा, एक्क्याण्णव.	आता महना एक्यांडाओ
0.64	evs-ukg-farm-visit-donkey.mp3	हे गाढव आहे. गाढव ओझं वाहतं.	हे गाड़ो आहे, गाड़ो ओजव वाहतव।
0.67	eng-lkg-months-year-s07.mp3	मग जुलै.	मवजुलाइ
0.67	eng-lkg-months-year-s09.mp3	मग सप्टेंबर.	मव सब्टेम्बर
0.67	eng-lkg-two-letter-words-s09.mp3	बघा, एन आणि ओ.	बगा इन आणी ओर
0.67	eng-lkg-two-letter-words-s11.mp3	बघा, डब्ल्यू आणि ई.	वगा, डबल्यू, आणी ए.
0.67	eng-nur-alphabets-s07.mp3	हे मोठं सी आहे.	हे मुतोसी आखे!
0.67	eng-nur-alphabets-s14.mp3	हे छोटं ई आहे.	हे छोटो गीगा हे
0.67	eng-nur-colors-s04.mp3	हा पिवळा आहे.	हाप पिवडा हे
0.67	eng-nur-vegetables-s10.mp3	हा भोपळा आहे.	हाबो पड़ा आहे
0.67	eng-ukg-phonics-s08.mp3	एफ़ चा आवाज, फ़. माझ्यासोबत म्हणा.	इर्खवचा आवाज दो माझा सो बत म्हना
0.67	eng-ukg-phonics-s09.mp3	जी चा आवाज, ग. माझ्यासोबत म्हणा.	जी चा आवाज गर्णाशा शो बत महना
0.67	evs-nur-rainbow-s02.mp3	मग ऊन पडलं.	मर उन पड़लव
0.67	evs-nur-rainbow-s03.mp3	आणि बघा, इंद्रधनुष्य!	आणि बगा इंद धनुशव
0.67	hin-ukg-swar-s02.mp3	हे अ आहे. म्हणा, अ.	हे आहे मना अर।
0.67	hin-ukg-teen-akshar-s05.mp3	बघा, स, र, ल.	बभा सत्रो लुट
0.67	hin-ukg-teen-akshar-s07.mp3	बघा, म, क, र.	बभा, मौउ, कव, रे
0.67	math-nur-count-1-20-s19.mp3	आता म्हणा, एकोणीस.	आताम्हना, एकोनीश
0.67	math-nur-count-21-50-s22.mp3	आता म्हणा, सदतीस.	आता महना सद्दीश
0.67	math-nur-count-51-100-s21.mp3	आता म्हणा, सहासष्ट.	आता महना सहा सश्पक
0.67	math-nur-count-51-100-s40.mp3	आता म्हणा, ब्याऐंशी.	आता महना व्याहिंशी
0.67	math-nur-count-51-100-s53.mp3	आता म्हणा, त्र्याण्णव.	आता महना त्रान्नव
0.67	math-nur-count-51-100-s55.mp3	आता म्हणा, पंच्याण्णव.	आता महना पंचान नव
0.67	math-nur-count-51-100-s56.mp3	शहाण्णव ते शंभर.	शहन्नम ते शंभर
0.67	math-nur-count-51-100-s59.mp3	आता म्हणा, अठ्ठ्याण्णव.	आता महना अठ्थ्यान नव
0.67	math-nur-long-short-s02.mp3	आणि ही आखूड आहे.	आनी ही आखूरा हे
0.67	math-nur-taller-shorter-s03.mp3	आता हे बघा. यांपैकी जास्त उंच कोणतं?	आता हे बगा, यान पाइती जास त उन्द स कोण त गवगा,
0.67	math-ukg-divide-single-s01.mp3	इथे सहा आहेत.	इठे सहा हे
0.68	solar_system_s5.mp3	ही आपली पृथ्वी. निळं म्हणजे पाणी आणि पांढरं म्हणजे ढग.	ही आपले प्रुत्वी निला मनजे पाणी आणी पांधर मनजे धौ
0.68	school_hall_s3.mp3	एखाद्या दारापर्यंत चला, त्या खोलीत जाण्यासाठी.	इखार्या दारा परियन पचला त्या खोली जाने असाथी
0.69	evs-ukg-india-culture-s06.mp3	सणाला आपण अंगणात रांगोळी काढतो.	सनाला आपन अंगनात रांगोली कड़तों
0.69	goat_about.mp3	ही शेळी आहे. शेळीला चढायला आवडते.	ही शेरी आहे, शेरीला चडहला आवरते
0.69	eng-ukg-phonics-s12.mp3	जे चा आवाज, ज. माझ्यासोबत म्हणा.	ये चा आवाज जह माझा सो बत्भना
0.69	hin-ukg-do-akshar-s10.mp3	मिळून बनतो मन, म्हणजे मन.	मिलून बंतो मन, मन्ये मन
0.70	eng-nur-alphabets-s42.mp3	एन, नेस्ट, म्हणजे घरटं.	इन नेस्ट मनजे घरतौ
0.70	eng-nur-alphabets-s12.mp3	डी, डॉग, म्हणजे कुत्रा.	डी डॉक्त मनजे कुत्रा
0.70	eng-nur-bird-animal-sounds-s04.mp3	घू घू कोण करतं? शोधा!	गू गू कोण करतंग शोधाव
0.70	math-nur-count-21-50-s32.mp3	सेहेचाळीस ते पन्नास.	सेहे चारीश ते पर्नास
0.70	math-nur-count-51-100-s12.mp3	आता म्हणा, एकोणसाठ.	आता महना, एकोंड साथ
0.70	math-nur-count-51-100-s42.mp3	आता म्हणा, चौऱ्याऐंशी.	आता महना चौर्या रिंशी
0.70	math-nur-count-51-100-s57.mp3	आता म्हणा, शहाण्णव.	आता महना शहन्नाव।
0.71	eng-nur-alphabets-s21.mp3	जी, गोट, म्हणजे शेळी.	जी, गोट, मनजे शेरी
0.71	evs-lkg-animal-footprints-s02.mp3	हे गायीने उमटवले!	हे गाईी ने उंटाउ ले
0.71	hin-ukg-swar-s06.mp3	हे उ आहे. म्हणा, उ.	हे ओ आहे, महना, उत
0.71	math-nur-count-1-20-s17.mp3	आता म्हणा, सतरा.	आता महना, सद्रया
0.71	math-nur-count-21-50-s17.mp3	आता म्हणा, तेहतीस.	आता महना तेटीस
0.71	math-nur-count-21-50-s18.mp3	आता म्हणा, चौतीस.	आता महना चवतीश
0.71	eng-ukg-phonics-s21.mp3	क्यू चा आवाज, क्व. माझ्यासोबत म्हणा.	प्यूचा आवाज को माझा सो बत्भना
0.71	eng-ukg-phonics-s29.mp3	एक्स चा आवाज, क्स. माझ्यासोबत म्हणा.	X चा आवाज माझा सो बत महना
0.71	evs-lkg-body-parts-s04.mp3	हे डोळे आहेत. डोळ्यांनी आपण बघतो.	हे डोले आहे, डोल्यानी आपन बगतों.
0.71	eng-lkg-animal-products-s08.mp3	ही मधमाशी आहे.	ही मदमाशिया है
0.71	eng-lkg-months-year-s10.mp3	मग ऑक्टोबर.	मुग अक्तोबर
0.71	eng-nur-alphabets-s02.mp3	हे छोटं ऐ आहे.	हे छोटव अए आहे
0.71	eng-nur-alphabets-s55.mp3	हे मोठं एस आहे.	हे मोतर, एसा हे
